ymd	no	display_link	title	link	snippet
20191028	1	www.youtube.com	シン・エヴァンゲリオン劇場版 特報2.5 - YouTube	https://www.youtube.com/watch?v=_ffbBbB9cA8	2019年8月8日 ... EVANGELION: 3.0+1.0 Trailer2.5 新世紀福音戦士新劇場版 Trailer2.5 『シン・エヴァンゲリオン劇場版』 西暦2020年６月公開 エヴァがついに完結する。 2007年から『ヱヴァンゲリヲン新劇場版』シリーズとして再起動し、『：序』『：破』『：Ｑ』の3 ...
20191028	2	www.youtube.com	【3分でわかる】新世紀エヴァンゲリオン「人類補完計画」の概要【エヴァ ...	https://www.youtube.com/watch?v=7QLpLOV1QMo	2019年3月12日 ... 新世紀エヴァンゲリオンの「人類補完計画」とは何か？ 作中のセリフや各種設定資料集を元に、概要をざっくりとまとめました。 実際にはゼーレと碇ゲンドウが対立していて、双方が異なる方法で補完計画を実行しようとしていました。 アダムと ...
20191028	3	www.youtube.com	エヴァ冒頭の映像！「シン・エヴァンゲリオン劇場版 AVANT 1（冒頭10分 ...	https://www.youtube.com/watch?v=omadFGQPCfM	2019年7月6日 ... 冒頭の歌は、水前寺清子さんの「真実一路のマーチ」という曲のようですね。 マリはエヴァ破でも水前寺清子さんの「三百六十五歩のマーチ」を歌っていましたねw 【ニュース】「シン・エヴァンゲリオン劇場版」映画本編冒頭10分40秒を先行公開！
20191028	4	www.youtube.com	「エヴァンゲリオン」新作ゲームはエヴァ同士の対決!? スマートフォン向け ...	https://www.youtube.com/watch?v=_X_TY4nqE9A	2019年9月12日 ... 「新世紀エヴァンゲリオン」のスマートフォン向けアプリゲーム「エヴァンゲリオン バトルフィールズ」映像が公開された。 公式サイト：https://evabf.jp/ (C) カラー (C) EVABF.
20191028	5	www.youtube.com	大当り確率『1/496.5』伝説の初代エヴァ！CR新世紀エヴァンゲリオンZF ...	https://www.youtube.com/watch?v=4_G1zCbfOzM	2019年9月9日 ... CR新世紀エヴァンゲリオンZF！15年ぶりだな。＜Bisty＞【#パチンコ新台】 【#たぬパチ！】 #エヴァンゲリオン ＜最新動画リスト＞ https://www.youtube.com/playlist?list=PLzrv1fp71yrXaWUFsXSj2Bf0hshiTfo_k ＜新台動画リスト＞ http...
20191028	6	www.youtube.com	新作エヴァ本編映像解禁 『シン・エヴァンゲリオン劇場版』AVANT1（冒頭 ...	https://www.youtube.com/watch?v=rDl1oa5Zrok	2019年7月6日 ... チャンネル登録：https://goo.gl/U4Waal 庵野秀明監督の『ヱヴァンゲリヲン新劇場版』4作目となる『シン・エヴァンゲリオン劇場版』（2020年公開）の冒頭10分40秒間を世界上映する“0706作戦”が6日、実行された。 #エヴァンゲリオン #映画.
20191028	7	www.youtube.com	中田敦彦が熱弁！エヴァンゲリオン名場面ベスト3！ - YouTube	https://www.youtube.com/watch?v=-sjpXSGsAR0	2019年4月28日 ... 中田敦彦オンラインサロン https://www.nakataatsuhiko.com/fanclub-salon.
20191028	8	www.youtube.com	9月新台！甘エヴァ13～最低でもST継続率86％！～ - YouTube	https://www.youtube.com/watch?v=WfsO-JLv_FQ	2019年9月12日 ... 甘エヴァ13の実戦動画です。 ... 9月新台！甘エヴァ13～最低でもST継続率86％！～. 金獅子パチ実戦. Loading... Unsubscribe from 金獅子パチ実戦? Cancel Unsubscribe. Working... SubscribeSubscribedUnsubscribe 19.7K.
20191028	9	www.youtube.com	「シン・エヴァンゲリオン劇場版」冒頭10分40秒の解説と考察【0706作戦 ...	https://www.youtube.com/watch?v=201U6lan1VU	2019年7月10日 ... 2019年7月6日 ついに映画『シン・エヴァンゲリオン劇場版』の冒頭映像が解禁されました。 (映像は公式アプリEVA-EXTRAで配信中です) フランス・パリを舞台に描かれる新たなストーリー。 ユーロネルフ、アンチ-Lシステム、エヴァ44A航空特 ...
20191028	10	www.youtube.com	エヴァ冒頭10分40秒_エヴァ0706作戦 - YouTube	https://www.youtube.com/watch?v=QIZKBbzv-KM	2019年7月6日 ... http://syohasofttennis.seesaa.net/article/467721486.html 2020年公開のエヴァの最後となる映画の冒頭シーン.
